id_mgn,latitude,longitude,site_id,snow_depth
589,80.05326333,-86.6925333,1,0.028
590,80.05326833,-86.6925367,1,0.096
591,80.05328,-86.692545,1,0.154
592,80.05329667,-86.6925734,1,0.187
593,80.05331333,-86.6926,1,0.11
594,80.05332834,-86.692605,1,0.079
595,80.05334167,-86.6926283,1,0.071
596,80.05335333,-86.6926566,1,0.064
597,80.05336333,-86.69267,1,0.05
598,80.05338334,-86.69269,1,0.063
599,80.05339666,-86.69273,1,0.051
600,80.05340667,-86.6927367,1,0.074
601,80.05342,-86.6927333,1,0.051
602,80.05343666,-86.6927583,1,0.073
603,80.05345,-86.6927733,1,0.14
604,80.05346,-86.69281,1,0.098
605,80.05347167,-86.6928433,1,0.097
606,80.05349333,-86.6928517,1,0.059
607,80.05350167,-86.69286,1,0.049
608,80.05352334,-86.6928917,1,0.081
609,80.05352667,-86.6928933,1,0.094
610,80.05353833,-86.692925,1,0.122
611,80.05355334,-86.6929567,1,0.178
612,80.05357333,-86.6929767,1,0.146
613,80.05357667,-86.692985,1,0.057
614,80.05358167,-86.692995,1,0.046
615,80.05360167,-86.6929983,1,0.076
616,80.05361833,-86.6930417,1,0.142
617,80.05363167,-86.693065,1,0.069
618,80.05364,-86.6930767,1,0.029
619,80.05365333,-86.6930817,1,0.028
620,80.05367,-86.6930967,1,0.059
621,80.05368833,-86.69312,1,0.105
622,80.05369667,-86.6931484,1,0.089
623,80.05370833,-86.6931733,1,0.097
624,80.053715,-86.6931817,1,0.075
625,80.05373167,-86.6932184,1,0.092
626,80.05374833,-86.69324,1,0.094
627,80.05376833,-86.6932517,1,0.126
628,80.05377834,-86.6932633,1,0.079
629,80.05379,-86.6932917,1,0.087
630,80.053795,-86.6933083,1,0.079
631,80.05381,-86.69332,1,0.122
632,80.05382333,-86.69335,1,0.245
633,80.05383833,-86.6933917,1,0.162
634,80.05385167,-86.6934016,1,0.087
635,80.05386,-86.6934201,1,0.099
636,80.05387333,-86.6934201,1,0.09
637,80.05389,-86.69343,1,0.043
638,80.05390333,-86.6934733,1,0.027
639,80.05391334,-86.6934933,1,0.033
